Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0092,POSTOBÓN MEDELLÍN,0092-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,659397,CALDERA CLEAVER BROOKS,19345,MANTENIMIENTO ELECTRICO CALDERA CLEAVER,13175646,MTTO  CONTROL DE NIVEL AGUA,PM02,ABIE,2023-12-04 05:00:00,,,,"0,1"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L9,LINEA DE ENVASADO TETRA LITRO LINEA 9,589700,CODIFICADOR DE TINTA,42267,PLAN MTTO CODIFICADOR ELECT. TETRA L9,13184955,Limpieza boquillas modulo de impresión,PM02,ABIE,2023-12-07 05:00:00,,bajo/Medio,,"0,2"
0092,POSTOBÓN MEDELLÍN,0,0,22007,CAPSULADORA WHITE CAP,56590,PLAN LUBRICACION WHITE CAP 22007,13185017,Lubricacion WHITE CAP 22007,PM02,ABIE,2023-12-10 05:00:00,Mejía Hugo,alto,,"0,2"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709766,TRASIEGO DE PULPA ASEPTICA,42444,PLAN MTTO MEC TRASIEGO DE PULPA ASEPTICA,13175767,MTTO SISTEMA NEUMATICO,PM02,ABIE,2023-12-16 05:00:00,Ospina Juan,medio/Moderado,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,69963303,TINA  TETRAPACK,21128,MANTENIMIENTO MECANICO TINA  TETRAPACK,13139988,MTTO SISTEMA NEUMATICO,PM02,ABIE,2023-12-02 05:00:00,,,,"0,5"
0092,POSTOBÓN MEDELLÍN,0,0,709464,FLOCULADOR 21000 GPH,0,MANTENIMIENTOFLOCULADOR,13181396,MANTENIMIENTOFLOCULADOR,PM02,ABIE,2023-12-06 05:00:00,,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,659667,TANQUE PREPARACIÓN CIP #1,42445,PLAN MTTO MEC TANQUE PREPARACIÓN CIPSODA,13175770,MTTO FUGAS  AGUA,PM02,ABIE,2023-12-16 05:00:00,Ospina Juan,bajo/Medio,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO JUGOS HIT,EQUIPOS PARA  ENVASADO JUGOS HIT,900097,ENFARDADORA,10651,LUBRICACION ENFARDADORA,13175632,Lubricacion Rodamientos,PM02,ABIE,2023-12-01 05:00:00,,,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709768,BLOQUE DE VALVULAS,42449,PLAN MTTO BLOQUE DE VALVULAS,13175776,MTTO INSTRUMENTACIÓN (SENSORES..),PM02,ABIE,2023-12-16 05:00:00,Cano Edwar,bajo/Medio,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,698442,INTERCAMBIADOR DE CALOR JARABE SIMPLE,42419,PLAN MTTO INTERCAMB. CALOR JARABE SIMPLE,13175764,AJUSTE DE PARTES,PM02,ABIE,2023-12-16 05:00:00,Cano Edwar,alto,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709768,BLOQUE DE VALVULAS,42449,PLAN MTTO BLOQUE DE VALVULAS,13175776,MTTO SISTEMA NEUMATICO,PM02,ABIE,2023-12-16 05:00:00,Cano Edwar,bajo/Medio,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L1,LINEA DE  ENVASADO DE TETRAPAK LINEA 1,690027,CHILLER,23341,MANTENIMIENTO MECANICO CHILLER TETRA PAK,13175713,REALIZAR LIMPIEZA INTERCAMBIADORES,PM02,ABIE,2023-12-03 05:00:00,,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0,0,22007,CAPSULADORA WHITE CAP,56588,PLAN DE MTTO MECANICO WHITE CAP 22007,13185016,Inpección semanal White Cap,PM02,ABIE,2023-12-09 05:00:00,Saldarriaga Serna Ismael Antonio,medio/Moderado,,"0,3"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709766,TRASIEGO DE PULPA ASEPTICA,42444,PLAN MTTO MEC TRASIEGO DE PULPA ASEPTICA,13175767,MTTO TABLERO CONTROL,PM02,ABIE,2023-12-16 05:00:00,Correa Jorge,medio/Moderado,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,698442,INTERCAMBIADOR DE CALOR JARABE SIMPLE,42419,PLAN MTTO INTERCAMB. CALOR JARABE SIMPLE,13175764,MTTO FUGAS VAPOR Y/O AGUA,PM02,ABIE,2023-12-16 05:00:00,Correa Jorge,alto,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709766,TRASIEGO DE PULPA ASEPTICA,42444,PLAN MTTO MEC TRASIEGO DE PULPA ASEPTICA,13175767,MTTO BOMBA DOBLE TORNILLO,PM02,ABIE,2023-12-16 05:00:00,Vasco John,medio/Moderado,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,659670,TANQUE PREPARACIÓN CIP #2,42446,PLAN MTTO MECANICO TANQUE CIP ACIDO,13175772,MTTO FUGAS  AGUA,PM02,ABIE,2023-12-16 05:00:00,Vasco John,bajo/Medio,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L9,LINEA DE ENVASADO TETRA LITRO LINEA 9,829711,ELEVADOR DE TAPAS,42418,PLAN MTTO MEC. ELEVADOR TAPAS TETRAL9,13175748,MTTO INYECTORES AIRE ALIMENTADOR  TAPAS,PM02,ABIE,2023-12-16 05:00:00,Castaño Yeison,alto,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,74963301,SISTEMA G (TABLEROS Y CONTROLES),20332,MANT ELECTRICO SIST G TABLEROS-CONTROLES,13175659,MTTO  VARIADORES,PM02,ABIE,2023-12-03 05:00:00,,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L9,LINEA DE ENVASADO TETRA LITRO LINEA 9,829711,ELEVADOR DE TAPAS,42418,PLAN MTTO MEC. ELEVADOR TAPAS TETRAL9,13175748,CAMBIO DE ESCOBILLAS EN ALIMENTADOR TAPA,PM02,ABIE,2023-12-16 05:00:00,Castaño Yeison,alto,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709768,BLOQUE DE VALVULAS,42449,PLAN MTTO BLOQUE DE VALVULAS,13175776,MTTO VALVULAS,PM02,ABIE,2023-12-16 05:00:00,Sebastian Morales,bajo/Medio,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L1,LINEA DE  ENVASADO DE TETRAPAK LINEA 1,519551,LLENADORA  A3 COMPACK  FLEX  TETRAPAK,17714,MANT MECANICO LLEN TETRA COMPACT FLEX,13175634,CAMBIO DE KITS SEMANAL TETRA,PM02,LIB.,2023-12-01 05:00:00,,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO JUGOS HIT,EQUIPOS PARA  ENVASADO JUGOS HIT,90006801,TRANSPORTADOR DE TAPAS,20715,MANT MECANICO TRANSPORTADOR DE TAPAS,13175680,MANTENIMIENTO CARRILERA,PM02,ABIE,2023-12-11 05:00:00,Perea Andres,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,709766,TRASIEGO DE PULPA ASEPTICA,42444,PLAN MTTO MEC TRASIEGO DE PULPA ASEPTICA,13175767,MTTO SENSORES(INSTRUMENTACION),PM02,ABIE,2023-12-16 05:00:00,David Usma,medio/Moderado,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,69963303,TINA  TETRAPACK,21128,MANTENIMIENTO MECANICO TINA  TETRAPACK,13139988,MTTO ESTRUCTURA Y BASE TANQUE,PM02,ABIE,2023-12-02 05:00:00,,,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO JUGOS HIT,EQUIPOS PARA  ENVASADO JUGOS HIT,829906,TRANSPORTADOR DE UNA VIA - MEI,40903,Plan de Mtto Mec. trans.Hatsu 829906,13169100,Mantenimiento guias,PM02,ABIE,2023-12-14 05:00:00,Jeiffer Muñoz,medio/Moderado,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007404,FILTRO PULIDOR PALL,20338,MANTENIMIENTO MECANI FILTRO PULIDOR PAL,13169062,MTTO VELAS FILTRANTES,PM02,ABIE,2023-12-12 05:00:00,Henao Nelson,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900075,SISTEMA E-J (PASTERIZADOR JUGO/AVENA),0,CAMBIO EMPAQUE VALVULA RETENCION,13187310,CAMBIO EMPAQUE VALVULA RETENCION,PM02,LIB.,2023-12-09 05:00:00,Perez Jhon,,,"0,0"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L9,LINEA DE ENVASADO TETRA LITRO LINEA 9,589700,CODIFICADOR DE TINTA,42267,PLAN MTTO CODIFICADOR ELECT. TETRA L9,13175726,Limpieza cabezal,PM02,ABIE,2023-12-01 05:00:00,,bajo/Medio,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO JUGOS HIT,EQUIPOS PARA  ENVASADO JUGOS HIT,829912,ETIQUETADORA,56622,PLAN MTTO MECANICO ETIQUETADORA 829912,13185018,LIMPIEZA RODILLOS DE TRANSP. Y TRANSFERE,PM02,ABIE,2023-12-07 05:00:00,,medio/Moderado,,"2,0"
0092,POSTOBÓN MEDELLÍN,0092-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,62001003,CUARTO FRIO MATERIA PRIMA,20210,LUBRICACION CUARTO FRIO MATERIA PRIMA,13169059,LUBRICAR PUNTOS MOVILES SISTEMA,PM02,ABIE,2023-12-12 05:00:00,Mejía Hugo,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,74963301,SISTEMA G (TABLEROS Y CONTROLES),20332,MANT MECANICO SISTE G TABLEROS-CONTROLES,13175657,MTTO FUNCIONAMIENTO AIRE ACONDICION,PM02,ABIE,2023-12-03 05:00:00,,,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,69963304,TINA  TETRAPACK,21129,MANTENIMIENTO ELECTRICO TINA  TETRAPAK 2,13169093,"VERIFICACION SENSORES VALLVULAS, TRANSMI",PM02,ABIE,2023-12-13 05:00:00,Perez Jhon,,,"1,0"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007404,FILTRO PULIDOR PALL,20338,MANTENIMIENTO MECANI FILTRO PULIDOR PAL,13175660,NSPECCION SEMANAL PULIDOR,PM02,ABIE,2023-12-01 05:00:00,,,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,659672,SKID CALENTAMIENTO INGREDIENTES,42471,PLAN MTTO SKID CALENTAMIENTO INGREDIENTE,13169135,MTTO ESTRUCTURA,PM02,ABIE,2023-12-09 05:00:00,Perez Jhon,medio/Moderado,,"0,5"
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,829077,MIXER JARABE SIMPLE,42397,PLAN MTTO MEC. MIXER JARABE SIMPLE,13175737,LUBRICACION RODAMIENTOS MIXER JARABE,PM02,ABIE,2023-12-01 05:00:00,,medio/Moderado,,"0,5"
